1000111518070640736 | BB DD17  389 3451             
1000111518070676830 | BB DD17  389 3455             
1000111518070856568 | BB DD17  395 3453             
1000111518070882577 | BB DD17  395 3454             
1000111518070967781 | BB DD17  399 3459             
1000111518071112166 | BB DD17  372 Wall             
1000111518071404040 | BB DD17  412 {Fill}           
1000111518071763304 | BB DD17  412 346              
1000111518071833665 | BB DD17  412 3461             
1000111518072227602 | BB DD17  415 Wall             
1000111518072304290 | BB DD17  12 3472              
1000111518072628757 | BB DD17  418 {Surface}        
1000111518075398253 | BB DD17  418 3495             
1000111518075951858 | BB DD17  418 3496             
1000111518076005933 | BB DD17  418 3497             
1000111518076066728 | BB DD17  418 3498             
1000111518076341276 | BB DD17  418 3499             
1000111518076427953 | BB DD17  418 3500             
1000111518076554326 | BB DD17  418 3503             
1000111518076669365 | BB DD17  418 3502             
1000111518077030878 | BB DD17  418 3504             
1000111518077118931 | BB DD17  418 3505             
1000111518077188739 | BB DD17  418 3507             
1000111518077258988 | BB DD17  418 3509             
1000111518077387846 | BB DD17  418 3510             
1000111518078182195 | BB DD17  416 {Fill}           
1000111518078661044 | BB DD17  416 3475             
1000111518078845055 | BB DD17  412 3490             
1000111518078952393 | BB DD17  418 3483             
1000111518078991343 | BB DD17  418 3508             
1000111518079077039 | BB DD17  418 3481             
1000111518079122978 | BB DD17  418 3483             
1000111518079842785 | BB DD17  389 48               
1000111518080152275 | BB DD17  419 Wall             
1000111518081221998 | BB DD17  424 Wall             
1000111518081942428 | BB DD17  418 3536             
1000111518082185482 | BB DD17  418 3522             
1000111518082234970 | BB DD17  418 3529             
1000111518082329873 | BB DD17  418 3528             
1000111518082443718 | BB DD17  403 3537             
1000111518082651565 | BB DD17  380                  
1000111518082744388 | BB DD17  380 3525             
1000111518082805560 | BB DD17  380 3523             
1000111518590520460 | A I5  134 Wall                
1000111518590897596 | A I5  148 Debris              
1000111518591334056 | A I5  153 Wall                
1000111518591575598 | A I5  147 {Fill}              
1000111518592092919 | A I5  151 Wall                
1000111518592341345 | A I5  141 {Pit}               
1000111518592737843 | A I5  137 {Fill}              
1000111518592965059 | A I5  138 {Fill}              
1000111518593859392 | A I5  150 Installation        
1000111518595658205 | A I5  131 1480                
1000111518595834977 | A I5  133 1484                
1000111518595936439 | A I5  137 1486                
1000111518596087611 | A I5  138 1487                
1000111518596218378 | A I5  131 1488                
1000111518596379513 | A I5  133 1502                
1000111518596419190 | A I5  133 1503                
1000111518596485494 | A I5  133 1505                
1000111518596523188 | A I5  133 1506                
1000111518596594200 | A I5  133 1508                
1000111518596693584 | A I5  141 1512                
1000111518597022293 | A I5  133 1518                
1000111518597273712 | A I5  147 1539                
1000111518597313433 | A I5  148 1540                
1000111518597544230 | A I5  150 1542                
1000111518599455664 | A I5  133 1507                

